Feature,Importance
SOMA_APOSENTADORIAS+PENSAO,0.14607478515557468
SALARIO,0.07986613974594847
SOMA_BOLSAS_FAMILIA,0.05432194849238585
D0023,0.02823682350719013
IDADE_65+,0.02752280401534688
D0073,0.023361707695388558
COR_Branca,0.020069832646157783
IDADE_18-49,0.01723976153723994
COR_Parda,0.016432707971147223
SOMA_BPC-LOAS,0.015651022086076005
ESCOLARIDADE_Superior Completo,0.015181561196413857
SEXO_Homem,0.014759550028069033
V1023_4,0.014672370855963034
SEXO_Mulher,0.014649418768506305
SOMA_SEGUROS_DESEMPREGO,0.013855647659404755
ESCOLARIDADE_Sem instrução ou Fundamental Incompleto,0.013332370912874226
C014_2.0,0.013203410549307515
V1023_1,0.012436444530159423
ESCOLARIDADE_Médio Completo ou Superior Incompleto,0.011677468328081005
UF_SC,0.011601472342621261
UF_SP,0.011545552302048814
V1023_2,0.011384115486575905
UF_MG,0.011321473883068901
ESCOLARIDADE_Fundamental Completo ou Médio Incompleto,0.01098459773182851
V1022_2,0.010626609630562153
V1022_1,0.010474466870731471
IDADE_50-64,0.010297298692118775
UF_RS,0.009722912863123203
UF_RJ,0.009290341740876387
UF_PR,0.008692085845272854
C014_99.0,0.008571044281625355
COR_Preta,0.008017528132802331
UF_BA,0.007978464973674469
UF_ES,0.007735660956574234
"CARTEIRA_ASSINADA_Sim, carteira de trab assinada",0.007664253017179233
UF_MA,0.007544718271284155
UF_GO,0.00742723802876599
UF_MT,0.007399071903276186
UF_PE,0.007382236172840112
UF_CE,0.006931168454032254
ESTAVA_TRABALHANDO_Não,0.006492218271216881
C014_1.0,0.0060124211943064455
UF_AL,0.006012237299992705
UF_PA,0.005980344978650626
ESTAVA_TRABALHANDO_Sim,0.005897562087309501
IDADE_12-17,0.005875491908072429
CARTEIRA_ASSINADA_N/A,0.005840019152909283
UF_MS,0.0057917783588126
C007C_36.0,0.005770031070773488
UF_RN,0.005644375666272053
UF_PB,0.005623179886659959
UF_AM,0.005532169569254931
ESCOLARIDADE_Pós-graduação,0.005452001822434815
UF_SE,0.005332240424620033
UF_PI,0.004940680020340466
C007D_6.0,0.004904769837188782
C007D_25.0,0.00462612119287055
UF_RO,0.004625713040056203
TIPO_EMPREGO_Empregado do setor público,0.00433778717083093
UF_AC,0.00425139884059891
UF_TO,0.004115367379877085
C007D_3.0,0.0038506563615146937
TIPO_EMPREGO_Autônomo (Conta própria),0.0036179141696627637
TIPO_EMPREGO_Empregado do setor privado,0.003495383930506654
UF_DF,0.003481528991216002
"CARTEIRA_ASSINADA_Sim, servidor púb estatutário",0.0034051016005716534
UF_RR,0.003357524684248922
C007D_1.0,0.003097435784185532
C007C_18.0,0.0030140454755311972
C007D_20.0,0.002998713447725232
CARTEIRA_ASSINADA_Não,0.0029592882642133487
C007D_12.0,0.002899642022778785
C007D_5.0,0.0028598411234669664
UF_AP,0.0028473611648249224
C007C_12.0,0.002663683914854325
IDADE_5-11,0.0025946004524349644
C007D_19.0,0.0024481332229744747
V1023_3,0.002427016133479812
IDADE_-5,0.0024180280069523302
TIPO_EMPREGO_N/A,0.0024128036308419245
C007C_3.0,0.002369213666392722
C007D_17.0,0.0023208258281472625
C007C_35.0,0.00231081863597525
ESTAVA_TRABALHANDO_N/A,0.002222285990494615
C007C_34.0,0.0021527078023258774
C010_1.0,0.002093876196226754
C010_99.0,0.0020898528262223532
C007C_7.0,0.002028674784948763
C007D_18.0,0.0020275323483260324
C007C_2.0,0.0020170377514250803
C007C_33.0,0.002011730732267135
C007C_23.0,0.001979383989988444
TIPO_EMPREGO_Empregador,0.001964347975573275
C007C_8.0,0.0019398744123246517
C007D_8.0,0.001768293387714087
C007C_19.0,0.0017629535577158321
C007C_14.0,0.001715809255441826
COR_Amarela,0.0016820550131858983
VALOR_TICKET-CESTA,0.0016781795466776711
C007D_7.0,0.0016704399187103685
C007C_6.0,0.001668120249780419
C007D_9.0,0.001663151843848341
C007C_20.0,0.001619436175846815
C007D_16.0,0.0016123576196978406
C007C_15.0,0.0015769958812411737
C007C_4.0,0.0015673684932397344
C007C_10.0,0.0015526478692437255
C007C_22.0,0.0015377157583820718
C007D_13.0,0.0015372237693811633
C007D_99.0,0.0015337420341316097
C007C_29.0,0.001520964387324694
C007C_13.0,0.001407130795106365
COR_Indígena,0.0013287357233006908
C007C_11.0,0.0012981960652390543
C007D_23.0,0.0012957619167360786
C007C_99.0,0.0012513553703396541
C007C_27.0,0.0012251297836975861
C007C_24.0,0.0012206173364128277
C007C_21.0,0.0011829210197122578
C007C_9.0,0.0011666475309176166
"TIPO_EMPREGO_Trabalhador doméstico (empregado doméstico, cuidados, babá)",0.0010432705923411744
C007D_14.0,0.001024387014273389
C007C_1.0,0.001006161373190628
C007D_24.0,0.0009734633145068592
C007D_22.0,0.0009554335667567179
C007C_26.0,0.0009407421109896787
C007D_4.0,0.0008699576998877824
C007C_31.0,0.0008409994507021051
TIPO_EMPREGO_Estava fora do mercado de trabalho,0.0008153547122803094
C007C_17.0,0.0007650682960237943
C007D_2.0,0.000731661305553185
C007D_15.0,0.0006290444760114042
C007D_11.0,0.0005687050832385849
C007C_25.0,0.0005475023445647883
C007D_21.0,0.0005103961147144201
C007C_5.0,0.0004915235791401453
TIPO_EMPREGO_Trabalhador familiar não remunerado em ajuda a parente,0.0004900452778240996
C007C_28.0,0.0004818549359080511
C007D_10.0,0.0004505781127587608
NAO_REMUNERADO_N/A,0.00044879698175203937
NAO_REMUNERADO_Sim,0.0004456572321583595
C007C_16.0,0.00041404190623539714
C007C_32.0,0.0002964355719058847
TIPO_EMPREGO_Policial militar ou bombeiro militar,0.00017286543135819915
TIPO_EMPREGO_Militar,0.00014800849795747136
COR_Ignorado,0.00013888023159625414
C007C_30.0,6.206535376551792e-05
SOMENTE_BENEFICIO_Sim,6.078591706677151e-05
SOMENTE_BENEFICIO_N/A,5.950145472423417e-05
